specObjID,plate,mjd,fiberID,ra,dec,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,h_alpha_flux_err,h_beta_flux_err,oiii_5007_flux_err,nii_6584_flux_err,snMedian_g
654191041234102272,581,52356,157,167.14133,4.8318856,0.02310554,646.7882,93.7262,66.95015,361.9231,11.27373,6.014457,6.949616,10.75793,56.01678
2179747773073614848,1936,53330,20,138.47246,28.530681,0.08299116,7557.503,2066.184,3722.328,1671.147,55.66848,19.86902,32.88968,14.98096,40.47501
1928745769465047040,1713,53827,288,221.29068,9.2746603,0.02397958,144.7721,74.73403,118.6641,126.4157,11.20957,8.501215,8.945068,10.51282,40.35029
1350026051664766976,1199,52703,262,133.69293,39.538826,0.01339168,1131.868,305.0118,307.3954,631.0926,18.25988,9.834187,12.40607,15.78195,43.47169
2445613273182136320,2172,54230,577,238.98706,19.949022,0.04133503,3255.661,736.7997,437.4836,999.2396,19.65213,7.44241,6.318165,7.447646,41.95763
2800130175373699072,2487,53852,62,166.14364,16.061793,0.0209762,255.4175,97.50036,180.923,311.3887,17.52959,11.2625,12.82001,17.65981,42.70822
1794719686076688384,1594,52992,128,144.86932,33.848965,0.0193798,2895.579,772.2027,736.9949,792.3568,21.31021,8.495472,9.323365,8.158831,41.12446
3100830669161392128,2754,54240,372,232.50348,12.989325,0.01329764,7764.896,832.6299,149.2708,4741.003,48.01043,8.7063,5.793809,26.40671,42.07298
3105295790629742592,2758,54523,232,212.49622,17.696114,0.01819355,80.17516,40.26621,86.02824,89.62,6.942142,5.161083,7.101796,8.270837,56.89154
2832796397483354112,2516,54241,117,236.17647,11.492267,0.03394591,88.40635,34.55673,55.48438,109.8868,6.51404,4.735008,5.734834,7.269496,42.76943
3185256675925846016,2829,54623,312,254.48004,27.699365,0.0365321,64.67981,21.6263,32.11982,63.31187,3.005635,2.210872,2.535954,3.057636,40.4457
2942115894857328640,2613,54481,507,189.62472,19.989267,0.04855449,6185.803,1735.3,5015.691,675.3439,37.29698,13.3515,33.54153,6.07131,41.76587
488757964061042688,434,51885,427,116.98813,43.144186,0.04227205,130.4462,31.32659,35.60287,153.6343,5.672018,3.997957,4.490888,6.10987,48.87287
1829668490282297344,1625,53140,295,184.35755,6.6900744,0.007420431,439.5366,116.9107,570.2411,541.8184,14.15242,8.322522,13.59312,15.06,45.12947
1479447647046625280,1314,53050,55,182.43863,56.523598,0.02631989,62.63954,22.62053,19.41157,48.09674,3.418808,2.95796,3.306921,3.859233,41.52471
2222682054548547584,1974,53430,566,174.37371,32.252465,0.03270868,3346.129,707.408,115.8487,1500.314,27.29002,8.032629,5.497598,12.72727,48.57902
323246831779735552,287,52023,413,182.76692,0.97227748,0.02040824,77.73664,33.09515,29.55753,59.01689,4.746259,3.816579,3.606217,4.26003,46.28846
2162916173979609088,1921,53317,227,117.64593,16.368572,0.01615445,175.5919,78.86882,94.45359,219.9313,17.33519,11.31372,12.92476,19.37492,40.85788
651918900153313280,579,52338,83,162.99177,3.7920628,0.01209809,5959.053,1414.765,366.3863,2818.417,56.91217,22.59591,16.83248,35.08831,42.3087
1110145320592893952,986,52443,29,319.75117,-0.96397772,0.01950927,3249.227,857.3526,456.4222,1259.511,25.0313,10.21475,8.776516,12.38062,40.26824
1942318698119325696,1725,54266,514,235.94536,9.6379176,0.05052983,3142.346,811.241,3823.379,2141.056,24.02203,10.16074,27.58351,16.5736,41.22164
2523304488899471360,2241,54169,592,195.35884,27.885998,0.018252,269.1904,108.2837,151.0302,371.6985,13.0509,8.20856,8.784012,13.53607,41.75882
1199113680743065600,1065,52586,110,50.24543,-0.36766,0.02107656,1248.714,275.0466,63.45787,454.5852,12.75673,5.765297,5.213926,8.157826,40.38747
1204732735000700928,1070,52591,72,40.6661,-0.01629,0.004207654,12836.56,2580.729,1100.439,5870.452,110.0802,30.72888,22.68084,46.81752,49.62321
3117763977677924352,2769,54527,535,208.09477,21.539353,0.0252494,148.1966,53.06117,110.6279,253.2597,12.38706,7.877617,8.980727,13.33197,40.97621
2837441290109478912,2520,54584,631,238.94656,11.625541,0.03488255,117.0103,34.39631,78.40385,206.4456,4.839863,3.565499,3.9727,5.043667,51.71542
2841922349480044544,2524,54568,549,241.36177,15.025336,0.01565814,121.868,54.19944,83.87096,195.3548,10.86011,7.236082,9.532207,13.83498,42.4335
1606766969468512256,1427,52996,392,153.49663,38.657206,0.02101371,3387.993,897.8938,726.9294,1866.005,29.06047,11.91218,11.36378,19.2161,40.23027
1875752318637467648,1666,52991,11,50.953516,40.557792,0.01778358,555.7126,162.1257,102.8358,404.612,12.36903,7.924963,8.044607,12.06618,53.45319
577752436958062592,513,51989,603,174.72888,3.5808728,0.01861182,3212.755,702.7158,107.5646,1216.78,21.99816,8.010198,4.944746,10.39292,43.3821
3246144879448844288,2883,54525,638,233.50956,56.685714,0.01126503,316.2162,103.4394,115.3325,320.0678,21.42752,12.05321,12.20494,20.57097,42.84766
541640075696433152,481,51908,299,147.34549,1.1453814,0.02521066,1622.975,326.563,169.7092,1065.339,24.01465,11.12136,12.18845,21.21283,42.28332
1997391028025321472,1774,53759,162,201.21419,13.737851,0.0221043,1088.59,263.4741,101.4318,641.1528,20.17524,10.06093,9.75652,17.83616,40.91049
2001900127291205632,1778,53883,182,209.01418,13.505841,0.0228946,289.9238,93.03514,226.6759,356.4591,18.93317,11.21196,13.30673,18.14588,41.13572
1969295750412134400,1749,53357,352,160.56321,14.110087,0.05418869,51.15091,23.39247,39.61546,86.50161,3.172815,2.625319,3.903299,4.021763,45.03625
1533579628139014144,1362,53050,378,161.98914,43.15034,0.02523612,781.4837,214.2984,115.0336,322.2542,7.725008,4.172729,4.033701,5.217882,40.82262
713886547941812224,634,52164,240,309.45822,-6.0907936,0.01283863,206.6187,61.83147,169.5083,178.2786,12.16646,8.342014,12.27773,13.50419,40.98937
672239519621212160,597,52059,281,171.37685,63.446327,0.0114945,1228.359,294.4742,60.79649,431.5605,12.99889,7.135277,6.679333,9.171618,44.35812
2222644946031110144,1974,53430,431,172.84179,32.706349,0.03363884,1796.589,374.0042,103.2341,841.0414,16.52211,6.631282,5.958036,10.4956,49.21178
