plate,mjd,fiberid,z,ra,dec,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw
274,51913,403,0.1073542,159.67201,1.0672019,107.8557,26.3464,6.643407,34.36971,1.548553,14.66774,11.20781,-17.27883
274,51913,635,0.09914839,160.96532,0.40167138,156.1769,33.85804,11.76848,70.12123,2.329138,24.78471,15.23213,-10.95075
275,51910,16,0.1147406,162.72184,-0.61475395,161.2351,30.97757,17.86917,56.07345,1.966963,17.28638,9.569957,-7.794564
275,51910,63,0.07369011,162.51748,-0.25029954,315.7848,79.69812,64.78653,74.98431,11.43876,72.70479,51.21764,-46.31739
275,51910,95,0.03781608,161.96359,-0.63162305,169.2585,51.72771,84.53747,23.97222,7.107374,36.69762,24.679,-24.86991
275,51910,101,0.08143172,162.26303,-0.50414319,196.6559,41.24067,22.26672,102.4879,9.977605,41.66897,38.26843,-25.95309
275,51910,181,0.03947514,161.58242,-0.41065061,20.4233,3.161322,5.490477,17.0484,3.961644,10.72745,3.206444,-1.57764
275,51910,201,0.08454167,161.44532,-1.2002402,343.1675,66.3017,33.64251,247.8399,27.8737,82.94385,59.05321,-9.472325
275,51910,254,0.03971817,160.9255,-0.92175778,836.8882,204.0573,36.76651,313.6341,15.53926,128.5366,88.93427,-48.42696
275,51910,293,0.1325367,160.4539,-0.57880619,208.9123,58.83194,24.96494,80.22031,6.876987,28.32746,29.61873,-25.05564
275,51910,455,0.1240166,161.40945,1.1831776,310.4195,89.09423,34.65957,114.5673,10.14938,56.20897,35.58517,-39.42793
275,51910,508,0.07237988,161.73995,0.40385233,163.1605,47.8123,18.33237,70.98491,7.780305,39.28359,27.88024,-9.819174
276,51909,185,0.02149814,163.11552,-0.6067328,419.37,108.6634,265.1246,48.37356,14.64939,67.07025,49.04765,-39.86792
276,51909,190,0.07332443,163.14587,-0.51707398,118.774,15.85276,10.76073,58.18255,8.303666,27.59608,17.19758,-7.488423
276,51909,270,0.1529681,162.77035,-0.66332385,112.7761,30.01102,5.634899,40.17003,1.444364,13.66752,9.569931,-21.1238
276,51909,391,0.04103274,162.34753,0.32721703,108.1639,26.88336,11.79539,30.67172,5.806305,30.57214,18.45662,-16.58823
