#Table1
plate,mjd,fiberid,z,ra,dec,h_beta_flux,h_beta_eqw,oiii_5007_flux,h_gamma_flux,ratio_oiii_hbeta,ratio_hbeta_hgamma,ratio_oiii_hgamma,approx_ebv_sfd,fwhm_hbeta_kms
1287,52728,296,0.1137073,214.25341,44.935101,1965.385,-14.09661,391.6991,859.511,0.1992989,2.286632,0.4557232,0.007565092,1177.41002251547
1707,53885,314,0.2516625,214.56603,10.284352,300.8876,-20.25454,196.6298,111.5407,0.6534992,2.697559,1.762853,0.0261633,1177.41002251547
1601,53115,118,0.1337497,162.53233,11.541298,3727.647,-19.79977,2310.751,1729.409,0.6198953,2.155445,1.33615,0.02498023,1177.41002251547
1676,53147,440,0.1217961,224.33046,45.689435,567.3231,-16.81627,283.965,274.6726,0.5005348,2.065452,1.033831,0.01547222,1177.41002251547
1710,53504,509,0.2326144,219.28287,12.667871,149.4587,-18.18953,107.2749,69.98296,0.7177562,2.135644,1.532872,0.01748476,1177.41002251547
1722,53852,419,0.08874598,232.17054,10.557812,1165.336,-33.88466,1833.025,368.1979,1.572959,3.164972,4.97837,0.03718168,1177.41002251547
1725,54266,497,0.05045299,235.55946,9.948533,417.0526,-11.15323,512.003,185.9445,1.22767,2.242887,2.753525,0.03379576,1070.20735738195
2520,54584,72,0.1027463,238.64481,10.239835,975.5901,-16.37884,1915.282,471.8938,1.963204,2.067393,4.058714,0.04334166,1177.41002251547
1762,53415,496,0.1128585,178.10959,15.290992,661.3086,-16.73502,2441.964,322.5689,3.692624,2.050131,7.570364,0.03302329,1177.41002251547
1762,53415,597,0.287309,178.84896,15.132487,1198.271,-23.5761,962.2195,496.7773,0.8030064,2.41209,1.936924,0.03531156,1177.41002251547
2016,53799,86,0.1946741,197.31001,34.752925,645.0529,-13.50777,761.8181,274.5308,1.181017,2.349656,2.774983,0.01195442,1177.41002251547
2023,53851,315,0.07446658,198.5946,34.494031,2578.494,-25.10013,1157.541,1050.861,0.4489214,2.453696,1.101517,0.009022531,1009.89577940184
2171,53557,54,0.2891488,238.83411,21.320779,405.6375,-25.0821,457.5949,176.4291,1.128088,2.299152,2.593647,0.04921282,1177.41002251547
2157,54242,195,0.2046669,228.46459,26.399491,2053.386,-26.58408,347.911,691.9977,0.1694328,2.967331,0.5027633,0.05162163,1177.41002251547
2016,53799,254,0.238499,196.70482,34.592018,167.482,-20.62189,42.29256,81.80661,0.25252,2.047292,0.5169823,0.009660275,1177.41002251547
2016,53799,130,0.2634147,197.28129,34.528335,172.2786,-19.23472,138.5448,69.32423,0.8041907,2.485114,1.998505,0.009982158,1177.41002251547
1987,53765,82,0.2738303,192.93209,32.692657,388.1747,-11.19981,304.6033,164.6705,0.7847068,2.357281,1.849774,0.01302723,1177.41002251547
2275,53709,468,0.1534398,128.03243,19.52222,167.3453,-9.123997,435.0875,82.04407,2.599939,2.0397,5.303095,0.02741797,1177.41002251547
2217,53794,279,0.2999473,170.82537,28.829344,625.8303,-18.91072,200.0685,239.5739,0.319685,2.612264,0.8351017,0.01540566,1177.41002251547
2365,53739,149,0.243885,154.43168,21.33531,470.6662,-17.66137,279.6687,191.3357,0.5941976,2.459898,1.461665,0.01999005,1177.41002251547
2477,54058,156,0.08030092,160.94595,22.499437,1640.754,-25.77769,1393.466,721.5504,0.8492836,2.273929,1.931211,0.02230833,1177.41002251547
2759,54534,440,0.2366971,214.67373,17.88854,523.2827,-20.65886,384.3179,223.4908,0.7344365,2.341406,1.719614,0.01555015,1177.41002251547
2619,54506,134,0.1092201,201.14287,18.481519,410.5927,-16.44963,401.077,141.7515,0.9768245,2.896567,2.829437,0.0249738,1058.61025672256
2641,54230,10,0.07572253,204.25349,18.17489,601.0107,-16.04958,188.3756,299.9052,0.3134313,2.004003,0.6281171,0.02205409,1177.41002251547
2742,54233,611,0.1292338,207.72379,17.109455,297.1542,-20.58673,132.3318,129.0229,0.4453306,2.303112,1.025646,0.02366989,1177.41002251547
2759,54534,84,0.1634479,215.2145,16.133353,159.2996,-15.41208,161.69,72.16206,1.015005,2.207526,2.240651,0.02019374,1177.41002251547
2606,54154,388,0.2984914,201.78807,17.209622,160.8598,-17.28489,241.9425,60.33878,1.504058,2.665943,4.009735,0.01401743,1177.41002251547
327,52294,19,0.2121531,174.6785,-3.2342371,556.4858,-22.55466,249.9217,263.6183,0.4491071,2.110953,0.9480437,0.02497121,1177.41002251547
1922,53315,78,0.2788461,121.09425,19.444104,176.2344,-11.1453,248.0137,77.30402,1.407295,2.279757,3.20829,0.03924241,1177.41002251547
306,51637,634,0.1402052,219.26717,0.11807156,844.7848,-24.92888,231.8915,399.96,0.2744977,2.112173,0.5797867,0.0365198,1177.41002251547
288,52000,217,0.2573984,184.66239,-1.0262047,161.1468,-12.03172,200.9269,68.37904,1.246856,2.356669,2.938427,0.02632922,1177.41002251547
279,51984,396,0.07265639,168.53064,-0.0086051784,363.6353,-10.95322,376.7242,178.7676,1.035995,2.034124,2.107341,0.03941792,1177.41002251547
273,51957,579,0.1312082,158.46913,0.73426859,236.3433,-12.26273,1514.475,95.24676,6.407948,2.481379,15.90054,0.05541255,1177.41002251547
418,51817,194,0.08870877,9.1935464,14.993574,304.1642,-16.77244,237.6394,123.2245,0.7812863,2.468375,1.928507,0.07569614,1177.41002251547
434,51885,14,0.2582933,118.03788,41.709871,375.1039,-16.71581,276.7814,185.4948,0.7378793,2.02218,1.492125,0.03761094,1177.41002251547
451,51908,133,0.1228317,139.98063,55.360312,2732.305,-11.01267,2443.264,1338.04,0.8942135,2.042021,1.826002,0.02380213,1177.41002251547
627,52144,143,0.2519912,249.13159,46.284548,511.5099,-14.94511,207.5033,228.2817,0.4056681,2.240696,0.9089789,0.01733811,1177.41002251547
648,52559,261,0.2779928,355.3092,-10.474735,258.7556,-20.77479,93.79657,119.0884,0.362491,2.172802,0.7876213,0.02454608,1177.41002251547
648,52559,141,0.1858536,356.68371,-10.485652,1.050042E+10,-17.33583,3.034562E+09,4.81265E+09,0.2889945,2.181837,0.6305387,0.0289624,1177.41002251547
646,52523,78,0.2487095,352.72824,-9.9466,336.116,-13.94141,264.2726,157.4693,0.7862541,2.134486,1.678249,0.02046048,1177.41002251547
647,52553,223,0.2426208,353.80285,-10.011222,278.9247,-18.89355,375.8382,132.9884,1.347454,2.097361,2.826098,0.02194073,1177.41002251547
502,51957,557,0.2201104,153.30064,2.0712291,832.4188,-13.21841,347.4914,395.5272,0.4174479,2.10458,0.8785526,0.05350235,1177.41002251547
580,52368,49,0.2808717,165.61102,3.5775797,194.7601,-16.69916,62.84343,109.2762,0.3226709,1.782274,0.575088,0.0500879,1177.41002251547
759,52254,431,0.1885577,123.21857,40.396903,426.277,-15.1574,240.3217,151.7335,0.5637689,2.809379,1.583841,0.04416839,1177.41002251547
769,54530,298,0.08548771,145.89241,53.577888,203.5235,-6.78985,641.2318,100.0278,3.150652,2.034668,6.410532,0.01095788,1177.41002251547
2880,54509,151,0.07672363,186.34526,4.3551755,611.8904,-10.39821,660.6502,301.7282,1.079687,2.027952,2.189554,0.01611715,1177.41002251547
2880,54509,63,0.179656,186.91596,4.3256744,548.3328,-14.66466,2809.577,242.2658,5.123854,2.263352,11.59709,0.01603202,1177.41002251547
583,52055,527,0.1263514,213.98686,5.3415448,538.2548,-9.276942,2005.843,277.5116,3.726568,1.939576,7.22796,0.02223218,1177.41002251547
1834,54562,233,0.1832028,229.58691,5.1325154,257.2448,-22.38337,135.8787,106.3789,0.5282078,2.418194,1.277309,0.04157612,1177.41002251547
1625,53140,332,0.07091313,184.12463,8.7147992,479.9887,-9.076656,876.4211,211.05,1.82592,2.274288,4.152669,0.01612346,1177.41002251547
1056,52764,444,0.06949385,243.25681,37.287468,1412.58,-8.459882,1969.428,860.5885,1.394206,1.641412,2.288466,0.01244528,1177.41002251547
1296,52962,597,0.1709028,126.66972,6.5115495,444.103,-15.80977,781.0115,211.2667,1.758627,2.102096,3.696803,0.02290523,1177.41002251547
1740,53050,506,0.1334316,141.07399,11.135282,360.3466,-18.89777,441.9746,176.408,1.226526,2.042688,2.505412,0.02954989,1012.05901160996
1744,53055,630,0.2407427,151.85876,12.815617,1351.735,-4.530081,1036.604,1134.435,0.7668698,1.191549,0.9137629,0.03346977,1177.41002251547
1287,52728,33,0.07453756,217.35447,45.308823,1386.29,-19.36629,1909.568,561.5118,1.377466,2.468852,3.400761,0.01070887,1177.41002251547
1371,52821,615,0.2338303,186.77611,46.158417,248.0921,-23.13809,105.0644,95.26701,0.4234895,2.604177,1.102841,0.0114809,1071.03191808742
1980,53433,131,0.2489785,169.05062,39.013349,712.8475,-35.66488,434.6356,305.0298,0.6097175,2.336977,1.424896,0.01425876,1177.41002251547
1568,53169,135,0.2353088,252.82493,18.779978,341.7077,-23.76096,257.6275,142.5535,0.7539411,2.397049,1.807234,0.06660371,1177.41002251547
1822,53172,583,0.1378105,239.61228,6.8669645,438.9331,-21.99401,77.27622,212.2015,0.1760547,2.068473,0.3641644,0.03526948,1177.41002251547
588,52045,419,0.0941471,222.98246,4.929534,366.7058,-9.674029,568.4883,152.5831,1.550257,2.403319,3.725762,0.02925828,1177.41002251547
1679,53149,113,0.2585811,233.97886,40.968443,285.7534,-9.246947,96.88226,142.4067,0.3390415,2.006601,0.680321,0.02236927,1177.41002251547
1843,53816,267,0.2414033,222.29751,30.543161,266.6912,-20.83344,173.868,116.5187,0.6519452,2.288827,1.49219,0.0173591,1037.48263133258
